ETL,Start Time,End Time
00-daily,8:30 PM,8:50 PM
00-dailyRun,9:00 AM,10:00 AM
00-ETL_T2_p1,4:00 AM,5:30 AM
00-ETL_T2_p2,4:00 AM,5:30 AM
BusyHour-Tier6-2023-PRD_UC,11:00 AM,11:30 AM
cad-prediction,10:00 AM,10:30 AM
cad-tier2-etl_UC,8:00 AM,9:00 AM
cad-tier3-etl_UC,9:00 AM,10:00 AM
clusterWarehouseCost_Job_Scheduler,12:00 AM,12:15 AM
csqs-etl-tier1,11:00 AM,11:15 AM
data_pipelineETL_run-UC,1:30 PM,2:00 PM
eco_t1tot2_dailyparams,5:00 AM,5:10 AM
eco_t2tot3_dailyparams,5:10 AM,5:11 AM
eco_t1tot2_hosttable_data,5:00 AM,5:10 AM
eco_t2tot3_hosttable_data,5:11 AM,5:14 AM
eco_t1tot2_elementevents_data,5:00 AM,5:10 AM
eco_t1tot2_element_ts_data,5:00 AM,5:16 AM
eco_t2tot3_element_ts_data,5:16 AM,5:19 AM
busyhour_t4,5:19 AM,5:22 AM
busyhour_t5,5:22 AM,5:28 AM
eero_data_download_t1_t2,11:00 PM,11:45 PM
Eero_device_data_t2_t3_ETL,11:45 PM,11:51 PM
Eero_network_data_t2_t3_ETL,11:45 PM,11:49 PM
etl-tier2-light-level-complete_UC,12:30 PM,12:45 PM
light-level-complete-add-usi,12:55 PM,12:56 PM
monthly_scorecard_status,8:00 AM,8:01 AM
NewCustomerSQSPerformanceScheduler,1:00 AM,1:30 AM
nmars_tier1_to_tier2_etl,1:30 AM,1:36 AM
nmars_tier2_to_tier3_etl,4:50 AM,5:01 AM
NOAA_daily_download,11:00 PM,11:15 PM
PBICusCountDataScheduler,5:00 AM,5:11 AM
POCDataScheduler,2:00 AM,3:35 AM
t2_start_stop_processing,7:00 AM,7:10 AM
t3_start_stop_processing,7:10 AM,7:20 AM
scorecard_daily_status,7:30 AM,7:31 AM
Prioritization_ETL_run,2:30 PM,2:40 PM
priorotized_list_ETL_run,4:00 PM,4:20 PM
sqs_pipelineETL_run_UC,2:00 PM,2:11 PM
SQSAnalysisScheduler,3:00 AM,11:30 AM
Tier-4-radius-product-speed-etl_UC,8:00 AM,10:00 AM
trouble_tickets_tier3_etl_UC,4:00 PM,4:12 PM
tso_tier1_to_tier2_etl,2:40 AM,2:51 AM
tso_tier2_to_tier3_etl,3:10 AM,3:18 AM
tso_tier3_to_tier4_etl,3:59 AM,4:19 AM
update_ouis,6:31 PM,6:43 PM
Wifi_24_Hour_Tier2_ETL_UC,8:05 AM,8:47 AM
wifiSQS_ETLrun_24Hours,1:01 PM,1:26 PM
wifiSQS_ETLrun_7_11pm,1:40 PM,1:50 PM
wifiSQS_ETLrun_v3,1:56 PM,2:10 PM
churn-pipeline-technical-deactivations,8:00 AM,8:55 AM
DataPipeline_CSV_DynamoDB_Final3 2025-01-30 16:52:01,6:00 AM,6:55 AM
DataPipeline_deltaLake ,5:00 AM,5:19 AM
ETL-edw-triad-usi-cill-daily-extract-uc,3:00 AM,6:00 AM
ETL-edw-triad-usi-clli-copper-daily-extract-uc,3:00 AM,5:00 AM
ETL-onprem-ont-light-levels,10:00 AM,10:18 AM
ETL-radius-daily-usage_prd,7:00 AM,7:25 AM
ETL_edw_usi_to_copper_upgrade,6:00 AM,6:10 AM
ETL_edw_usi_to_fiber_upgrade,6:10 AM,6:12 AM
ETL_edw_usi_to_pon_type_UC,7:00 AM,7:30 AM
ETL_onprem_trouble_tickets_UC,3:00 PM,4:10 PM
alarm tier1,1:15 AM,1:25 AM
Pulling_lndPega_oracle_UC,1:15 PM,1:26 PM
Radius_stops_data_tier1,1:05 AM,1:35 AM
NMARS_pon_utilization_data_tier1,1:05 AM,1:35 AM
alarm tier1,11:00 PM,11:40 PM
